time,temperature_2m,windspeed_10m,winddirection_10m,predicted_windspeed
2023-01-04T17:00,61.6,9.1,189,15.20036336
2023-01-04T18:00,62.8,13.2,169,10.21017668
2023-01-04T19:00,62.3,10.8,180,12.59865127
2023-01-04T20:00,62.3,6.7,144,13.16517949
2023-01-04T21:00,60,4.1,128,15.66492329
2023-01-04T22:00,56.9,7.7,101,12.39497451
2023-01-04T23:00,55.2,5.8,83,12.67731632
2023-01-05T00:00,54,6.3,121,12.3960397
2023-01-05T01:00,53.4,4.5,61,16.02413751
2023-01-05T02:00,52.9,8.7,42,13.55691993
2023-01-05T03:00,52.5,9,61,15.97295852
2023-01-05T04:00,51.7,10.2,32,7.869165901
2023-01-05T05:00,50.2,9.5,29,9.669757562
2023-01-05T06:00,48.2,8.9,58,11.00503586
2023-01-05T07:00,48,7.4,43,9.232553782
2023-01-05T08:00,47.6,6.4,27,14.01075002
2023-01-05T09:00,47,9.7,42,14.26929497
2023-01-05T10:00,47.7,1.9,22,11.62399012
2023-01-05T11:00,48.3,3.6,323,15.94586217
2023-01-05T12:00,47.3,9.7,22,14.88458601
2023-01-05T13:00,47.1,9.4,50,12.57638725
2023-01-05T14:00,46.6,7.1,75,12.08460106
2023-01-05T15:00,47.9,12,44,13.19427632
2023-01-05T16:00,48.9,11.2,48,10.38901737
2023-01-05T17:00,49,8.9,47,8.770539912
2023-01-05T18:00,49.3,8.7,42,15.04407247
2023-01-05T19:00,48.2,7.7,41,8.845022138
2023-01-05T20:00,49,8.4,50,13.91704346
2023-01-05T21:00,48,10.8,26,12.85446829
2023-01-05T22:00,47.5,7,55,7.973316524
2023-01-05T23:00,47.2,5.4,20,16.07147143
2023-01-06T00:00,47.4,3.6,6,13.11729999
2023-01-06T01:00,47.7,9.1,72,8.589075214
2023-01-06T02:00,47.1,7.1,66,7.612491529
2023-01-06T03:00,46.6,7.7,79,12.03233089
2023-01-06T04:00,45.8,10.4,46,14.79080152
2023-01-06T05:00,45.5,12.8,68,8.43595392
2023-01-06T06:00,44.5,12.4,80,14.99520572
2023-01-06T07:00,44.4,7.3,110,13.39907023
2023-01-06T08:00,44,4.3,360,14.52963256
2023-01-06T09:00,43.4,9.5,9,12.08457508
2023-01-06T10:00,43.2,6.1,45,15.04602099
2023-01-06T11:00,43.1,6.5,90,16.02522868
2023-01-06T12:00,42.3,10.7,104,15.07246784
2023-01-06T13:00,43.1,5.1,98,13.08882668
2023-01-06T14:00,43.1,6.1,62,13.88716722
2023-01-06T15:00,43.8,3.8,343,16.40553781
2023-01-06T16:00,44.4,2.3,288,12.95835911
2023-01-06T17:00,45.4,7.6,275,7.897379404
2023-01-06T18:00,46.8,7.7,259,15.79042863
2023-01-06T19:00,48.2,9.7,268,7.972511136
2023-01-06T20:00,47.1,11,259,13.24527345
2023-01-06T21:00,46.2,15.5,271,7.689961485
2023-01-06T22:00,44.3,15.2,265,13.88919368
2023-01-06T23:00,44.1,11.9,268,15.17518955
2023-01-07T00:00,42.5,12,286,11.72382802
2023-01-07T01:00,40.9,14.1,276,15.55671975
2023-01-07T02:00,40.9,14.8,270,13.62768698
2023-01-07T03:00,39.2,15.3,285,14.58268213
2023-01-07T04:00,38.7,11.2,264,14.29693691
2023-01-07T05:00,37.6,11.2,268,12.78105126
2023-01-07T06:00,36.3,10.5,262,7.919201762
2023-01-07T07:00,35.5,11.3,253,14.76430271
2023-01-07T08:00,35.1,10.2,262,14.86653079
2023-01-07T09:00,34.8,10.8,255,13.2465205
2023-01-07T10:00,34.6,10.5,254,14.2728023
2023-01-07T11:00,34.5,8.7,253,8.56273229
2023-01-07T12:00,34.9,5.4,250,11.47079089
2023-01-07T13:00,36.3,5.4,270,13.88433537
2023-01-07T14:00,38.3,13.7,273,13.03879082
2023-01-07T15:00,40.2,14.6,286,15.07210411
2023-01-07T16:00,41.8,14.8,284,7.973004761
2023-01-07T17:00,43.5,17.9,285,8.385424434
2023-01-07T18:00,44,19.1,286,15.14978191
2023-01-07T19:00,44.7,17.5,289,11.9028246
2023-01-07T20:00,42.9,20.4,302,13.3199895
2023-01-07T21:00,42.5,15.1,303,16.12696314
2023-01-07T22:00,40.3,10.5,286,15.58519305
2023-01-07T23:00,39.3,10.3,282,15.45259511
2023-01-08T00:00,40.1,11.2,285,14.76238017
2023-01-08T01:00,38.9,9.1,279,15.63611224
2023-01-08T02:00,38.8,13.8,290,8.769682564
2023-01-08T03:00,37.5,9.3,286,9.798822196
2023-01-08T04:00,36.5,9.5,279,13.34724173
2023-01-08T05:00,35.9,9.4,293,13.88924564
2023-01-08T06:00,35.3,11.4,288,16.04570007
2023-01-08T07:00,34,9.7,301,16.32819776
2023-01-08T08:00,32.8,8.2,299,14.32340973
2023-01-08T09:00,32.5,8,297,8.975463726
2023-01-08T10:00,31.5,10.5,278,16.40764222
2023-01-08T11:00,31.5,8.6,292,14.9687329
2023-01-08T12:00,31,6.2,324,15.12086694
2023-01-08T13:00,31,5.3,332,12.73059971
2023-01-08T14:00,33.5,7.7,332,13.5801712
2023-01-08T15:00,36.1,11.1,347,12.42370762
2023-01-08T16:00,37.3,9.7,358,10.67455475
2023-01-08T17:00,38.8,5,330,15.97410165
2023-01-08T18:00,40.5,3.9,248,14.77100562
2023-01-08T19:00,40.7,6.8,198,12.15973279
2023-01-08T20:00,39.6,6.2,201,14.9745265
2023-01-08T21:00,39,8.6,182,13.91483514
2023-01-08T22:00,36.4,6.2,173,13.88589419
2023-01-08T23:00,34.5,8.4,140,13.70453341
2023-01-09T00:00,34.5,9.6,160,15.63795684
2023-01-09T01:00,33.8,6.4,164,10.49020624
2023-01-09T02:00,33.3,8.6,195,12.03955341
2023-01-09T03:00,34.2,11.2,184,12.60200272
2023-01-09T04:00,34.3,3.2,207,14.40017822
2023-01-09T05:00,35.9,5.8,173,15.17139643
2023-01-09T06:00,37.3,8.8,199,15.92315648
2023-01-09T07:00,37.7,7.4,194,12.7812591
2023-01-09T08:00,37.5,5.9,218,13.21680014
2023-01-09T09:00,37.1,4.1,218,12.96152871
2023-01-09T10:00,36.9,4.5,299,15.74317266
2023-01-09T11:00,37.1,6,287,15.56069473
2023-01-09T12:00,37.5,2.6,254,11.59616632
2023-01-09T13:00,37,6,287,11.10770561
2023-01-09T14:00,37.8,7.9,286,15.07262372
2023-01-09T15:00,39.2,8.7,275,13.4504051
2023-01-09T16:00,41.2,13.7,288,15.43334479
2023-01-09T17:00,43.2,15.9,298,11.77861827
2023-01-09T18:00,44.2,18.6,292,11.77500702
2023-01-09T19:00,44.8,19.2,293,13.88597213
2023-01-09T20:00,44.9,19,297,10.93146294
2023-01-09T21:00,43.4,21.1,295,8.228587962
2023-01-09T22:00,41,14.8,296,15.97316636
2023-01-09T23:00,39,9.9,280,14.89308156
2023-01-10T00:00,38.6,12.7,277,14.71252617
2023-01-10T01:00,37.2,8.7,265,13.31819686
2023-01-10T02:00,36.3,10.6,252,10.79644883
2023-01-10T03:00,35.8,10.2,247,15.27710587
2023-01-10T04:00,34.9,9.7,248,13.55330868
2023-01-10T05:00,34.3,10.5,254,9.905622806
2023-01-10T06:00,34.5,9.7,266,13.04047954
2023-01-10T07:00,34,10.7,258,9.022433916
2023-01-10T08:00,36.2,9.1,252,11.31629264
2023-01-10T09:00,35.3,7.7,281,12.95778755
2023-01-10T10:00,37.2,8.7,253,12.34093769
2023-01-10T11:00,37.1,8.6,248,8.127165266
2023-01-10T12:00,37.6,5.6,255,7.970510656
2023-01-10T13:00,36.9,7.8,214,15.73724916
2023-01-10T14:00,38.6,9.8,242,12.2164196
2023-01-10T15:00,39.2,10.6,235,11.31275932
2023-01-10T16:00,40.2,11.8,250,14.14838814
2023-01-10T17:00,40.3,11.4,246,11.18229176
2023-01-10T18:00,41.4,11.9,241,15.07392273
2023-01-10T19:00,40.9,11,259,9.076548678
2023-01-10T20:00,41,8.6,292,16.56424486
2023-01-10T21:00,41,9,286,14.69306802
2023-01-10T22:00,40.5,5.3,298,16.35690489
2023-01-10T23:00,40.3,8.7,263,12.5778941
2023-01-11T00:00,40.8,7,291,16.35594362
2023-01-11T01:00,40.3,7,339,9.537445396
2023-01-11T02:00,39,6.6,331,15.73839229
2023-01-11T03:00,37.2,8.3,304,8.100042934
2023-01-11T04:00,37.1,7.6,335,15.94744696
2023-01-11T05:00,35.4,9.4,2,13.1927175
2023-01-11T06:00,35.6,6.2,10,13.21906043
2023-01-11T07:00,34.8,6.2,21,11.28781934
2023-01-11T08:00,34.7,10.8,21,11.62508129
2023-01-11T09:00,33.6,9.7,22,16.35620342
2023-01-11T10:00,33.5,10.5,16,16.40800594
2023-01-11T11:00,32.9,11.6,26,14.93961009
2023-01-11T12:00,32.1,10.5,41,7.487168053
2023-01-11T13:00,33.5,8.8,35,15.71495915
2023-01-11T14:00,35.1,11.8,50,11.00882898
2023-01-11T15:00,35.8,10.5,38,13.31993754
2023-01-11T16:00,37.4,8.7,52,9.720624792
2023-01-11T17:00,38.8,6.5,34,14.94033753
2023-01-11T18:00,39,7.6,25,14.784904
2023-01-11T19:00,39.4,9.8,36,9.233255249
2023-01-11T20:00,39.1,6.4,43,14.4517729
2023-01-11T21:00,38.4,5.5,58,15.19883052
2023-01-11T22:00,37.8,3.6,53,14.04208115
2023-01-11T23:00,36.2,5.4,94,11.62144406
2023-01-12T00:00,36.3,5.9,104,15.3261285
2023-01-12T01:00,35,4.4,99,14.42852162
2023-01-12T02:00,34.4,5.3,62,14.17080804
2023-01-12T03:00,36,6.4,52,10.31289839
2023-01-12T04:00,36.4,3.9,56,15.17456602
2023-01-12T05:00,35.1,4.2,31,13.63114236
2023-01-12T06:00,35.5,6.6,29,12.03563039
2023-01-12T07:00,37.2,7.1,66,8.641631161
2023-01-12T08:00,38.1,6,57,12.98898878
2023-01-12T09:00,39.1,7.4,51,13.94143786
2023-01-12T10:00,40.3,9.6,56,15.07233794
2023-01-12T11:00,40.1,10.4,34,16.4862553
2023-01-12T12:00,39.4,11.5,39,12.46670283
2023-01-12T13:00,40,11.3,37,10.18409356
2023-01-12T14:00,40.3,10.5,31,13.39862857
2023-01-12T15:00,42.7,11.5,46,15.58667393
2023-01-12T16:00,44.1,10.2,58,16.20277036
2023-01-12T17:00,45.1,6.1,45,16.51205264
2023-01-12T18:00,46.1,10.6,66,7.614751812
2023-01-12T19:00,46.4,9.3,77,11.49295099
2023-01-12T20:00,47.3,8.4,65,15.51078877
2023-01-12T21:00,48.3,10.9,107,14.65625505
2023-01-12T22:00,50.2,17.6,121,14.35120755
2023-01-12T23:00,51.9,18.9,159,14.68665089
2023-01-13T00:00,52.5,24.2,147,15.27585881
2023-01-13T01:00,52.6,16.3,152,8.514618968
2023-01-13T02:00,53.6,20.5,158,10.72453865
2023-01-13T03:00,54.5,24.9,160,15.58623227
2023-01-13T04:00,54.3,25.2,163,15.35257534
